Ward name,Old code,New code,Population - 2015,Median Household income estimate (2012/13),% area that is open space - 2014
Hillingdon - West Drayton,00ASHB,E05000342,15250,32680,"31,9"
Hillingdon - West Ruislip,00ASHC,E05000343,11600,43470,"49,5"
Hillingdon - Yeading,00ASHD,E05000344,14250,33240,"33,4"
Hillingdon - Yiewsley,00ASHE,E05000345,13750,32340,"41,3"
Hounslow - Bedfont,00ATFY,E05000346,12950,31870,"52,5"
Hounslow - Brentford,00ATFZ,E05000347,15800,35040,"42,8"
Hounslow - Chiswick Homefields,00ATGA,E05000348,11650,51830,"42,2"
Hounslow - Chiswick Riverside,00ATGB,E05000349,11700,49680,"35,2"
Hounslow - Cranford,00ATGC,E05000350,12750,30860,"26,4"
Hounslow - Feltham North,00ATGD,E05000351,11850,32850,37
Hounslow - Feltham West,00ATGE,E05000352,15800,34010,"41,4"
Hounslow - Hanworth,00ATGF,E05000353,12400,31150,"45,6"
Hounslow - Hanworth Park,00ATGG,E05000354,12250,34340,"41,4"
Hounslow - Heston Central,00ATGH,E05000355,12600,33580,"15,8"
Hounslow - Heston East,00ATGJ,E05000356,12700,34030,"27,1"
Hounslow - Heston West,00ATGK,E05000357,12750,29490,"39,1"
Hounslow - Hounslow Central,00ATGL,E05000358,16200,35830,"11,1"
Hounslow - Hounslow Heath,00ATGM,E05000359,15250,32530,"48,6"
Hounslow - Hounslow South,00ATGN,E05000360,11700,39920,"17,9"
Hounslow - Hounslow West,00ATGP,E05000361,13750,31890,"10,2"
Hounslow - Isleworth,00ATGQ,E05000362,12150,34790,"22,6"
Hounslow - Osterley and Spring Grove,00ATGR,E05000363,13350,42140,"54,3"
Hounslow - Syon,00ATGS,E05000364,14200,37040,"42,5"
Hounslow - Turnham Green,00ATGT,E05000365,11800,47080,"7,4"
Islington - Barnsbury,00AUFX,E05000366,12950,44970,11
Islington - Bunhill,00AUFY,E05000367,16700,39200,"13,5"
Islington - Caledonian,00AUFZ,E05000368,14950,35840,"16,4"
Islington - Canonbury,00AUGA,E05000369,12500,40590,"14,4"
Islington - Clerkenwell,00AUGB,E05000370,12350,43350,"9,3"
Islington - Finsbury Park,00AUGC,E05000371,15300,33620,"15,9"
Islington - Highbury East,00AUGD,E05000372,12150,47810,"21,6"
Islington - Highbury West,00AUGE,E05000373,16400,43800,"10,6"
Islington - Hillrise,00AUGF,E05000374,12350,39090,"18,3"
Islington - Holloway,00AUGG,E05000375,16050,35430,"16,9"
Islington - Junction,00AUGH,E05000376,12950,39470,"16,6"
Islington - Mildmay,00AUGJ,E05000377,13500,39300,"10,6"
Islington - St. George's,00AUGK,E05000378,13100,40860,"8,1"
Islington - St. Mary's,00AUGL,E05000379,12500,46190,"9,6"
