LATITUDE,LONGITUDE,SATELLITE,CONFIDENCE,VERSION,BRIGHT_T31,FRP,DAYNIGHT
18.6738500000,95.7478300000,T,"72",6.1NRT,308.5700000000,12.7900000000,D
18.5638300000,95.7824400000,T,"63",6.1NRT,305.2700000000,16.5700000000,D
18.6280500000,94.9962500000,T,"77",6.1NRT,301.2900000000,18.5500000000,D
18.4744800000,95.8974200000,T,"42",6.1NRT,302.9900000000,15.1400000000,D
17.8229800000,94.9015800000,T,"54",6.1NRT,300.0300000000,12.3300000000,D
17.7836300000,95.0062600000,T,"73",6.1NRT,302.8300000000,26.0700000000,D
17.7812300000,95.0205000000,T,"76",6.1NRT,306.1900000000,26.9700000000,D
15.7932200000,101.1853600000,T,"67",6.1NRT,294.9300000000,62.5000000000,D
15.7926400000,101.1798300000,T,"68",6.1NRT,295.0300000000,65.2600000000,D
16.3109800000,96.0484900000,T,"0",6.1NRT,302.2500000000,24.1700000000,D
16.0372900000,94.5312200000,T,"61",6.1NRT,307.3200000000,18.5500000000,D
16.0267100000,94.5293500000,T,"72",6.1NRT,304.7900000000,20.0100000000,D
16.0244900000,94.5426900000,T,"55",6.1NRT,305.4400000000,13.8100000000,D
-8.7455500000,116.8496100000,A,"44",6.1NRT,284.2800000000,4.5000000000,D
10.9354200000,107.8893400000,A,"79",6.1NRT,295.4100000000,23.9700000000,D
11.4815300000,108.7607500000,A,"63",6.1NRT,300.7700000000,16.1500000000,D
11.6262600000,108.7084700000,A,"59",6.1NRT,294.3200000000,15.7500000000,D
12.0423900000,109.0835000000,A,"54",6.1NRT,295.4700000000,15.2300000000,D
12.0606900000,108.6002400000,A,"49",6.1NRT,294.0100000000,10.5900000000,D
